period,train_start,train_end,test_start,test_end,train_accuracy,test_accuracy,accuracy_drop,test_return,buy_hold_return,excess_return,max_drawdown,sharpe_ratio,num_trades,win_rate
71,1986-12-16,1987-12-14,1987-12-15,1988-03-15,1.0,0.5714285714285714,0.4285714285714286,7.9247423774083225,20.236990636957163,-12.312248259548841,-9.912644336503353,1.1766042986492342,5,50.0
72,1987-01-16,1988-01-14,1988-01-15,1988-04-14,1.0,0.5079365079365079,0.4920634920634921,-0.4328638482333558,-7.690010920718404,7.257147072485048,-17.333376413379924,0.13175139048775614,1,0.0
73,1987-02-17,1988-02-12,1988-02-16,1988-05-13,1.0,0.5238095238095238,0.47619047619047616,-3.288537003458203,-1.81832712231087,-1.470209881147333,-19.556990149251224,-0.33913477987196133,7,66.66666666666666
74,1987-03-18,1988-03-15,1988-03-16,1988-06-14,1.0,0.5079365079365079,0.4920634920634921,-7.1638253407697245,-1.7027842489790723,-5.461041091790652,-17.452065166844733,-0.7658013689787915,3,0.0
75,1987-04-16,1988-04-14,1988-04-15,1988-07-14,1.0,0.6190476190476191,0.38095238095238093,22.11050245410131,14.149357073826474,7.9611453802748375,-7.8788470372071515,4.10089087622092,10,100.0
76,1987-05-18,1988-05-13,1988-05-16,1988-08-12,1.0,0.6349206349206349,0.3650793650793651,7.159209613410389,3.030149914394298,4.129059699016091,-7.878847037207143,1.905042840919137,6,100.0
77,1987-06-17,1988-06-14,1988-06-15,1988-09-13,1.0,0.7142857142857143,0.2857142857142857,14.043663498288339,-10.213723106708317,24.257386604996654,-1.3968277674948462,4.270256227962707,8,100.0
78,1987-07-17,1988-07-14,1988-07-15,1988-10-12,1.0,0.6031746031746031,0.39682539682539686,5.485705516408568,-13.72666727530275,19.212372791711317,-12.4999706934859,1.1890070879837675,7,100.0
79,1987-08-17,1988-08-12,1988-08-15,1988-11-10,1.0,0.47619047619047616,0.5238095238095238,-0.7762074522288831,-4.242450134731546,3.4662426825026627,-13.447487020133767,-0.028369215803952602,7,66.66666666666666
80,1987-09-16,1988-09-13,1988-09-14,1988-12-12,1.0,0.5079365079365079,0.4920634920634921,-5.505972976708195,-8.091424169046334,2.585451192338139,-12.72206977988748,-0.8800220981589078,3,0.0
81,1987-10-15,1988-10-12,1988-10-13,1989-01-12,1.0,0.4603174603174603,0.5396825396825398,7.976534864200513,9.904538288725195,-1.9280034245246824,-12.722069779887468,1.385041538452249,2,100.0
82,1987-11-13,1988-11-10,1988-11-11,1989-02-10,1.0,0.49206349206349204,0.5079365079365079,15.758623285933403,-2.9914963130743155,18.750119599007718,-4.452030169378602,3.094265864218192,5,100.0
83,1987-12-15,1988-12-12,1988-12-13,1989-03-14,1.0,0.4126984126984127,0.5873015873015873,-6.054211647538709,-8.781465303035596,2.7272536554968863,-12.968244932963671,-1.2279014946072844,1,0.0
84,1988-01-15,1989-01-12,1989-01-13,1989-04-13,1.0,0.4603174603174603,0.5396825396825398,-5.014717019970516,-10.737334807984444,5.722617788013928,-16.733795157511793,-0.5445491921473304,3,0.0
85,1988-02-16,1989-02-10,1989-02-13,1989-05-12,1.0,0.5396825396825397,0.46031746031746035,26.22141910795197,21.957069525021545,4.264349582930425,-9.999969218603988,4.086616476251439,1,0.0
86,1988-03-16,1989-03-14,1989-03-15,1989-06-13,1.0,0.47619047619047616,0.5238095238095238,15.218303316551939,38.87512855336026,-23.656825236808324,-7.316553792882498,3.6987521493576883,4,100.0
87,1988-04-15,1989-04-13,1989-04-14,1989-07-13,1.0,0.5396825396825397,0.46031746031746035,15.772952142556228,5.068410193506634,10.704541949049595,-4.587116333545101,4.180194377619423,3,100.0
88,1988-05-16,1989-05-12,1989-05-15,1989-08-11,1.0,0.47619047619047616,0.5238095238095238,1.9753518873299125,-8.767876220229942,10.743228107559855,-5.500761735431413,0.5117987762242352,8,50.0
89,1988-06-15,1989-06-13,1989-06-14,1989-09-12,1.0,0.42857142857142855,0.5714285714285714,-10.501826466846264,-7.084818320138231,-3.4170081467080333,-17.010876759235195,-1.838088782226145,4,50.0
90,1988-07-15,1989-07-13,1989-07-14,1989-10-11,1.0,0.4444444444444444,0.5555555555555556,3.1617004014657057,20.223364805314258,-17.061664403848553,-4.341075014534891,1.023899151673687,4,50.0
91,1988-08-15,1989-08-11,1989-08-14,1989-11-09,1.0,0.4603174603174603,0.5396825396825398,0.0,13.151276549773128,-13.151276549773128,0.0,0.0,0,0.0
92,1988-09-14,1989-09-12,1989-09-13,1989-12-11,1.0,0.5555555555555556,0.4444444444444444,-2.2223754288366537,-12.563103156472389,10.340727727635734,-2.222375428836658,-1.895772850791035,2,0.0
93,1988-10-13,1989-10-11,1989-10-12,1990-01-11,1.0,0.5238095238095238,0.47619047619047616,-4.166669123424526,-29.056322544582947,24.88965342115842,-9.210501032273065,-0.665270625306059,1,0.0
94,1988-11-11,1989-11-09,1989-11-10,1990-02-09,1.0,0.47619047619047616,0.5238095238095238,-26.557400508540454,-26.55740050854044,-1.4210854715202004e-14,-30.577954958159935,-2.802810268496724,1,0.0
95,1988-12-13,1989-12-11,1989-12-12,1990-03-13,1.0,0.5555555555555556,0.4444444444444444,2.0779273457756986,2.760361985379478,-0.6824346396037795,-14.802555434403716,0.4177330372018519,5,0.0
96,1989-01-13,1990-01-11,1990-01-12,1990-04-11,1.0,0.6031746031746031,0.39682539682539686,29.556539350846567,23.58503974010535,5.9714996107412155,-7.168340128825235,2.99080152632733,5,50.0
97,1989-02-13,1990-02-09,1990-02-12,1990-05-11,1.0,0.6349206349206349,0.3650793650793651,26.67890893243181,25.771546804490384,0.9073621279414255,-11.42860265643256,3.0005962324792455,3,100.0
98,1989-03-15,1990-03-13,1990-03-14,1990-06-12,1.0,0.6031746031746031,0.39682539682539686,12.831190760737844,9.76314520278596,3.0680455579518835,-12.328778915600374,1.4567133480353411,3,100.0
99,1989-04-14,1990-04-11,1990-04-12,1990-07-12,1.0,0.5079365079365079,0.4920634920634921,15.367928458529011,9.841402750482708,5.526525708046304,-11.42860265643255,1.8996611709811222,3,0.0
100,1989-05-15,1990-05-11,1990-05-14,1990-08-10,1.0,0.5079365079365079,0.4920634920634921,0.5636797707902375,-6.928177512357935,7.491857283148173,-10.919631497433349,0.22219856965010654,3,100.0
101,1989-06-14,1990-06-12,1990-06-13,1990-09-11,1.0,0.5555555555555556,0.4444444444444444,6.945942703236296,-14.207124829318051,21.153067532554346,-6.229682555131999,1.2513736310432197,4,50.0
